"year","month","day_of_week","hour_of_day","timestamp","origin_station_complex_id","origin_station_complex_name","origin_latitude","origin_longitude","destination_station_complex_id","destination_station_complex_name","destination_latitude","destination_longitude","estimated_average_ridership","origin_point","destination_point"
"2024","9","Monday","20","2024-09-02T20:00:00.000","167","W 4 St-Wash Sq (A,C,E,B,D,F,M)","40.732338","-74.000495","122","Graham Av (L)","40.714565","-73.944053","2.9628","POINT (-74.000495 40.732338)","POINT (-73.944053 40.714565)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","273","Queens Plaza (E,M,R)","40.748973","-73.937243","441","Central Park North (110 St) (2,3)","40.799075","-73.951822","0.2304","POINT (-73.937243 40.748973)","POINT (-73.951822 40.799075)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","224","57 St (F)","40.763972","-73.97745","252","Avenue X (F)","40.58962","-73.97425","0.221","POINT (-73.97745 40.763972)","POINT (-73.97425 40.58962)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","263","63 Dr-Rego Park (M,R)","40.729846","-73.861604","403","33 St (6)","40.746081","-73.982076","0.2312","POINT (-73.861604 40.729846)","POINT (-73.982076 40.746081)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","404","28 St (6)","40.74307","-73.984264","164","34 St-Penn Station (A,C,E)","40.752287","-73.993391","1.4282","POINT (-73.984264 40.74307)","POINT (-73.993391 40.752287)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","159","81 St-Museum of Natural History (C,B)","40.781433","-73.972143","69","25 Av (D)","40.597704","-73.986829","0.2448","POINT (-73.972143 40.781433)","POINT (-73.986829 40.597704)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","283","Greenpoint Av (G)","40.731352","-73.954449","221","21 St-Queensbridge (F)","40.754203","-73.942836","0.8868","POINT (-73.954449 40.731352)","POINT (-73.942836 40.754203)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","602","14 St-Union Sq (L,N,Q,R,W,4,5,6)","40.735066","-73.990416","180","Kingston-Throop Avs (C)","40.679921","-73.940858","6.6418","POINT (-73.990416 40.735066)","POINT (-73.940858 40.679921)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","194","111 St (A)","40.684331","-73.832163","173","High St (A,C)","40.699337","-73.990531","0.3","POINT (-73.832163 40.684331)","POINT (-73.990531 40.699337)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","333","Wall St (2,3)","40.706821","-74.0091","289","Bedford-Nostrand Avs (G)","40.689627","-73.953522","1.883","POINT (-74.0091 40.706821)","POINT (-73.953522 40.689627)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","303","157 St (1)","40.834041","-73.94489","308","Cathedral Pkwy (110 St) (1)","40.803967","-73.966847","4.307","POINT (-73.94489 40.834041)","POINT (-73.966847 40.803967)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","628","Fulton St (A,C,J,Z,2,3,4,5)","40.710089","-74.007838","144","Dyckman St (A)","40.865491","-73.927271","3.9996","POINT (-74.007838 40.710089)","POINT (-73.927271 40.865491)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","313","72 St (1,2,3)","40.778453","-73.98197","155","Cathedral Pkwy (110 St) (C,B)","40.800603","-73.958161","5.555","POINT (-73.98197 40.778453)","POINT (-73.958161 40.800603)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","162","50 St (C,E)","40.762456","-73.985984","623","Canal St (J,N,Q,R,W,Z,6)","40.718701","-74.00058","3.387","POINT (-73.985984 40.762456)","POINT (-74.00058 40.718701)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","290","Classon Av (G)","40.688873","-73.96007","46","Cortelyou Rd (Q)","40.640927","-73.963891","0.4886","POINT (-73.96007 40.688873)","POINT (-73.963891 40.640927)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","476","86 St (Q)","40.777891","-73.951787","438","135 St (2,3)","40.814229","-73.94077","1.4708","POINT (-73.951787 40.777891)","POINT (-73.94077 40.814229)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","9","57 St-7 Av (N,Q,R,W)","40.764664","-73.980658","43","Parkside Av (Q)","40.655292","-73.961495","6.634","POINT (-73.980658 40.764664)","POINT (-73.961495 40.655292)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","160","72 St (C,B)","40.775594","-73.97641","54","Sheepshead Bay (B,Q)","40.586896","-73.954155","0.7108","POINT (-73.97641 40.775594)","POINT (-73.954155 40.586896)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","409","Spring St (6)","40.722301","-73.997141","385","176 St (4)","40.84848","-73.911794","0.6968","POINT (-73.997141 40.722301)","POINT (-73.911794 40.84848)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","17","Prince St (R,W)","40.724329","-73.997702","453","82 St-Jackson Hts (7)","40.747659","-73.883697","2.524","POINT (-73.997702 40.724329)","POINT (-73.883697 40.747659)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","167","W 4 St-Wash Sq (A,C,E,B,D,F,M)","40.732338","-74.000495","615","New Utrecht Av (N)/62 St (D)","40.625657","-73.996624","1.3478","POINT (-74.000495 40.732338)","POINT (-73.996624 40.625657)"
"2024","9","Monday","20","2024-09-02T20:00:00.000","276","5 Av/53 St (E,M)","40.760167","-73.975224","67","20 Av (D)","40.604556","-73.998168","0.2254","POINT (-73.975224 40.760167)","POINT (-73.998168 40.604556)"
